fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.8,0.16,0.18,1.8,0.046,31,114,0.99226,3.27,0.55,10.8,6.0
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11.0,7.0
6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,5.0
6.0,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6.0
7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,7.0
6.9,0.38,0.32,8.5,0.044,36,152,0.9932,3.38,0.35,12.0,7.0
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5.0
8.5,0.17,0.31,1.0,0.024,13,91,0.993,2.79,0.37,10.1,5.0
6.6,0.34,0.2,1.0,0.053,26,112,0.99336,3.32,0.55,9.1,5.0
6.0,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7.0
6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,6.0
7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10.0,6.0
6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,6.0
6.4,0.13,0.28,0.9,0.045,32,87,0.99175,3.47,0.52,11.2,6.0
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5.0
6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,6.0
7.2,0.31,0.41,8.6,0.053,15,89,0.9976,3.29,0.64,9.9,6.0
7.5,0.23,0.3,1.2,0.03,27,80,0.99192,3.05,0.68,10.5,5.0
7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,5.0
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5.0
5.0,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6.0
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6.0
6.0,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7.0
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8.0
7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8.0
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5.0
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7.0
7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6.0
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5.0
6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11.0,6.0
6.6,0.44,0.32,3.0,0.095,13,75,0.98954,3.1,0.63,12.8,6.0
6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6.0
7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10.0,5.0
